run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,bytes_kumulatif,pkt_delta_prev,rasio_diam,tp_delta_prev,tp_kumulatif,tp_pendek_max,tp_pendek_mean,tp_pendek_std,tp_rasio_kumulatif,tp_rasio_prev,tp_slot_akhir,label
CONT_s10_bola_RedBullPlayStreets,25,97,32,0.144093,0.212631,0.0,0.694305,60.962035,223.34374,0.641026,1,542.677165,852.469172,264.412692,182275,156,2,21658773,51,0.670103,0.042473,0.643223,0.464645,0.133157,0.205867,0.224017,1.417959,0.0,Critical
CONT_s10_bola_RedBullPlayStreets,26,97,38,0.140602,0.208118,0.0,0.579252,68.507563,229.103997,0.606061,1,537.325471,855.038279,307.866593,177989,165,4,21836762,9,0.649485,-0.003491,0.624995,0.578697,0.144573,0.206737,0.224965,0.975773,0.0,Critical
CONT_s10_bola_RedBullPlayStreets,27,96,47,0.142196,0.194456,0.0,0.580096,154.383372,496.96946,0.564972,1,647.634995,1536.987882,416.093826,178263,177,4,22015025,12,0.541667,0.001594,0.608258,0.580096,0.13474,0.202892,0.233776,1.011337,0.0,Critical
CONT_s10_bola_RedBullPlayStreets,28,97,23,0.167701,0.653296,0.0,6.25912,42.599751,173.5006,4.812834,9,492.003772,858.326385,339.572136,212740,187,4,22227765,10,0.752577,0.025505,0.593324,0.462868,0.05749,0.138665,0.282647,1.179365,0.0,Critical
CONT_s10_bola_RedBullPlayStreets,29,96,5,0.002307,0.011966,0.0,0.069895,23.19262,0.0,0.0,0,19.344934,46.268617,17.190067,2895,12,2,22230660,-175,0.958333,-0.165394,0.574133,0.0,0.0,0.0,0.004018,0.013757,0.0,Critical
CONT_s10_bola_TearsOfSteel,1,99,99,1.017252,0.179763,0.59,1.421112,48.433654,88.340784,0.0,0,127.830126,181.351056,39.485154,1290243,1171,6,2532327,75,0.0,0.02594,1.004379,1.421112,1.016816,0.178135,1.012817,1.026167,0.951891,Degraded
CONT_s10_bola_TearsOfSteel,2,98,58,0.640004,0.562649,0.0,1.964889,26.800944,123.272024,1.81311,13,86.578296,145.434948,33.58437,805077,717,4,3337404,-454,0.408163,-0.377248,0.883259,1.643934,0.439874,0.562858,0.724594,0.62915,1.063759,Degraded
CONT_s10_bola_TearsOfSteel,3,99,99,1.076582,0.174448,0.588277,1.644781,93.00453,238.721423,0.0,0,147.826903,179.866418,20.162293,1371259,1244,6,4708663,527,0.0,0.436578,0.932012,1.300233,1.08057,0.105778,1.155116,1.682149,1.169349,Degraded
CONT_s10_bola_TearsOfSteel,4,98,98,1.079823,0.138867,0.706421,1.411473,70.360423,141.017456,0.078989,1,148.106244,186.294796,23.758732,1363238,1266,6,6071901,22,0.0,0.003241,0.961567,1.297709,1.079281,0.106178,1.122983,1.00301,1.167601,Degraded
CONT_s10_bola_TearsOfSteel,5,98,46,0.506789,0.567985,0.0,1.906796,21.920973,63.490738,0.0,0,90.458755,155.594061,42.03466,640104,545,4,6712005,-721,0.530612,-0.573034,0.88575,1.906796,0.42063,0.589928,0.572158,0.469326,0.0,Degraded
CONT_s10_bola_TearsOfSteel,6,97,52,0.512288,0.536906,0.0,1.788555,35.700844,139.770974,0.0,0,109.311941,170.842761,54.753982,640810,524,4,7352815,-21,0.474227,0.005499,0.832763,1.672163,0.598134,0.511687,0.615167,1.010851,1.173746,Degraded
CONT_s10_bola_TearsOfSteel,7,98,98,0.848371,0.205435,0.469147,1.403411,41.671403,62.512049,0.0,0,163.376411,207.646991,34.299799,1075250,955,5,8428065,431,0.0,0.336083,0.834722,1.17323,0.849418,0.136562,1.016352,1.656043,0.822857,Degraded
CONT_s10_bola_TearsOfSteel,8,98,98,0.847377,0.111794,0.471807,1.170347,67.513369,95.281636,0.0,0,170.916769,225.121693,42.189079,1077934,1006,6,9505999,51,0.0,-0.000994,0.836131,1.049489,0.839639,0.122352,1.01345,0.998828,0.701657,Degraded
CONT_s10_bola_TearsOfSteel,9,97,77,0.685144,0.40259,0.0,1.776493,44.6265,92.259042,0.0,0,140.374936,208.467888,50.924805,863275,764,4,10369274,-242,0.206186,-0.162233,0.821093,1.776493,0.583428,0.524262,0.834429,0.808547,0.0,Degraded
CONT_s10_bola_TearsOfSteel,10,97,63,0.440861,0.379499,0.0,1.397992,40.076939,127.122228,0.0,0,158.253598,251.029445,78.601049,554932,460,2,10924206,-304,0.350515,-0.244283,0.786578,0.93377,0.574133,0.204617,0.56048,0.643457,0.581482,Degraded
CONT_s10_bola_TearsOfSteel,11,98,97,0.578407,0.170045,0.0,0.937782,163.497994,701.620151,0.0,0,206.649333,274.586501,58.010983,735773,640,4,11659979,180,0.010204,0.137546,0.769113,0.937782,0.577164,0.144505,0.752044,1.311994,0.58605,Degraded
CONT_s10_bola_TearsOfSteel,12,97,97,0.576553,0.126926,0.234769,0.935077,96.957945,126.141083,0.0,0,248.581734,317.944248,55.303822,726516,697,6,12386495,57,0.0,-0.001854,0.754341,0.708308,0.575014,0.081819,0.764313,0.996795,0.428544,Degraded
CONT_s10_bola_TearsOfSteel,13,97,97,1.953334,13.738415,0.238769,136.553076,86.642154,117.968757,2.429543,50,244.969583,366.496058,77.984481,2502884,2058,6,14889379,1361,0.0,1.376781,0.842046,0.702956,0.46215,0.094976,2.319747,3.387952,0.467292,Degraded
CONT_s10_bola_TearsOfSteel,14,97,97,0.45423,0.119556,0.102857,0.734615,130.14749,306.890407,2.622378,15,221.349311,318.136676,87.693468,573674,572,5,15463053,-1486,0.0,-1.499104,0.81619,0.699635,0.447228,0.135054,0.556525,0.232541,0.102857,Degraded
CONT_s10_bola_TearsOfSteel,15,97,97,0.454532,0.147179,0.102857,0.703631,113.992681,233.007875,0.0,0,219.311456,317.386129,83.821708,574298,520,4,16037351,-52,0.0,0.000302,0.793577,0.703631,0.453471,0.144841,0.572764,1.000665,0.703631,Degraded
CONT_s10_bola_TearsOfSteel,16,97,96,0.458222,0.161997,0.0,0.899212,108.919915,234.149758,0.0,0,244.641157,317.335051,77.044798,578966,526,4,16616317,6,0.010309,0.00369,0.77385,0.899212,0.463307,0.180789,0.592133,1.008118,0.614563,Degraded
CONT_s10_bola_TearsOfSteel,17,97,95,0.454823,0.146384,0.0,0.814909,97.060738,262.214996,0.191571,1,229.38125,316.582294,74.555347,574905,522,4,17191222,-4,0.020619,-0.003399,0.756116,0.699635,0.446177,0.173306,0.601525,0.992582,0.580365,Degraded
CONT_s10_bola_TearsOfSteel,18,97,91,0.451517,0.210364,0.0,1.076769,110.445586,300.551202,0.393701,2,218.261219,317.895999,90.175647,571264,508,4,17762486,-14,0.061856,-0.003306,0.740079,1.076769,0.437336,0.195264,0.610093,0.992731,0.234544,Degraded
CONT_s10_bola_TearsOfSteel,19,97,85,0.228739,0.184133,0.0,1.085231,146.895359,527.783158,9.180328,28,279.261343,530.948645,156.141774,289069,305,3,18051555,-203,0.185567,-0.222778,0.714512,0.465538,0.198266,0.155463,0.320133,0.506601,0.003996,Degraded
CONT_s10_bola_TearsOfSteel,20,144,134,0.2012,0.106199,0.0,0.602154,186.780825,440.68396,10.0,47,435.145075,609.4976,166.085033,377614,470,5,18429169,165,0.104167,-0.027539,0.679017,0.363873,0.199446,0.109384,0.296311,0.879605,0.120077,Critical
CONT_s10_bola_TearsOfSteel,21,276,210,0.18438,0.181281,0.0,2.012567,91.53814,258.768388,7.255937,55,340.405221,558.172368,160.460368,664019,758,4,19093188,288,0.257246,-0.01682,0.621081,0.349817,0.144059,0.171478,0.296869,0.916402,0.0,Critical
CONT_s10_bola_TearsOfSteel,22,192,106,0.141342,0.154566,0.0,0.579808,261.577753,1190.200114,0.867052,3,509.030787,851.611965,281.700875,353889,346,3,19447077,-412,0.442708,-0.043038,0.584936,0.464645,0.132595,0.199629,0.241637,0.76658,0.0,Critical
CONT_s10_bola_TearsOfSteel,23,259,155,0.237422,1.546011,0.0,24.95022,220.525646,849.363311,1.434159,11,614.997093,1265.918851,388.800398,804143,767,4,20251220,421,0.444015,0.09608,0.552839,24.95022,0.984841,4.531415,0.42946,1.67977,0.0,Critical
CONT_s10_bola_TearsOfSteel,24,101,48,0.129858,0.201113,0.0,1.184107,150.249367,388.422006,2.39521,4,634.789711,997.031684,382.702275,171778,167,3,20422998,-600,0.50495,-0.107564,0.538102,0.466399,0.118386,0.141707,0.241326,0.54695,0.003969,Degraded
CONT_s10_bola_Valkaama,1,98,98,1.015708,0.252771,0.35667,1.773464,31.70405,52.737835,0.0,0,134.819511,182.679507,37.493992,1272632,1105,4,2562444,27,0.0,0.051325,0.989332,1.773464,1.013507,0.324232,1.02666,1.053221,1.187542,Good
CONT_s10_bola_Valkaama,2,99,60,0.634526,0.5669,0.0,1.83546,21.098812,60.48099,2.095808,14,123.068983,165.842097,40.2398,802784,668,4,3365228,-437,0.393939,-0.381182,0.872838,1.444453,0.258276,0.485167,0.726969,0.624713,0.825181,Good
CONT_s10_bola_Valkaama,3,99,99,1.0792,0.148482,0.58885,1.4225,46.033772,60.48099,0.0,0,139.361334,190.152627,37.144006,1369914,1257,5,4735142,589,0.0,0.444674,0.923975,1.417054,1.077326,0.187792,1.167997,1.700797,1.304039,Good
CONT_s10_bola_Valkaama,4,98,98,1.08146,0.154435,0.58885,1.419727,45.051176,113.967128,0.0,0,107.630845,188.887621,49.401397,1360303,1295,4,6095445,38,0.0,0.00226,0.955008,1.418345,1.087434,0.129674,1.132409,1.002094,1.067809,Good
CONT_s10_bola_Valkaama,5,98,84,0.91742,0.485071,0.0,2.141461,24.526935,58.907571,0.0,0,126.491746,158.723609,28.995204,1155297,948,4,7250742,-347,0.142857,-0.16404,0.948851,1.645536,1.076814,0.2977,0.966875,0.848316,0.881636,Good
CONT_s10_bola_Valkaama,6,99,97,0.929138,0.314037,0.0,1.645536,22.148288,25.569685,0.815494,8,135.157534,184.294723,37.050459,1181715,981,2,8432457,33,0.020202,0.011718,0.946035,1.411618,0.849484,0.217171,0.982139,1.012773,0.708482,Good
CONT_s10_bola_Valkaama,7,98,98,0.84606,0.193717,0.237973,1.407502,40.471184,62.243583,0.0,0,162.317017,212.201952,38.24872,1068917,961,6,9501374,-20,0.0,-0.083078,0.933632,1.250057,0.849115,0.193913,0.906203,0.910586,0.826047,Good
CONT_s10_bola_Valkaama,8,97,97,0.847461,0.160008,0.469147,1.285886,55.896981,67.355822,0.0,0,174.254093,212.235184,27.418728,1061319,954,4,10562693,-7,0.0,0.001401,0.924197,1.285886,0.84968,0.223884,0.91697,1.001656,1.285886,Good
CONT_s10_bola_Valkaama,9,98,98,0.842354,0.233363,0.13969,1.403411,24.605278,25.55947,0.0,0,142.273885,184.627662,35.564098,1066199,880,2,11628892,-74,0.0,-0.005107,0.916034,1.287132,0.832164,0.263421,0.919566,0.993974,0.701705,Good
CONT_s10_bola_Valkaama,10,98,94,0.693596,0.293902,0.0,1.519304,29.209471,37.166871,1.22449,9,165.529536,251.266117,63.482694,877647,735,2,12506539,-145,0.040816,-0.148758,0.89587,1.054574,0.575413,0.230601,0.774215,0.823402,0.49456,Good
