run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,label
CONT_s10_TheSwissAccount,24,24,,0.146918,0.039881,0.082657,0.248718,,,,,,,,197339,165,2,Critical
CONT_s10_TheSwissAccount,25,23,,0.143529,0.038371,0.079091,0.237132,,,,,,,,186149,157,2,Critical
CONT_s10_TheSwissAccount,26,24,,0.11148,0.095416,0.0,0.280615,,,,,,,,147962,125,2,Critical
CONT_s10_TheSwissAccount,27,23,,0.146071,0.055455,0.0,0.307809,,,,,,,,188400,167,4,Critical
CONT_s10_TheSwissAccount,28,23,,0.14158,0.028131,0.083481,0.192581,,,,,,,,183346,186,5,Critical
CONT_s10_TheSwissAccount,29,23,,0.094368,0.086379,0.0,0.378465,,,,,,,,122334,125,2,Critical
CONT_s10_Valkaama,1,23,,0.973797,0.13983,0.475888,1.158465,,,,,,,,1286547,1113,4,Good
CONT_s10_Valkaama,2,23,,0.428708,0.502569,0.0,1.24575,,,,,,,,563837,471,4,Good
CONT_s10_Valkaama,3,23,,1.073358,0.045881,0.984799,1.150815,,,,,,,,1415079,1265,6,Good
CONT_s10_Valkaama,4,22,,1.083738,0.059269,1.000756,1.253518,,,,,,,,1360577,1280,4,Good
CONT_s10_Valkaama,5,23,,0.726289,0.46492,0.0,1.213239,,,,,,,,960214,803,4,Good
CONT_s10_Valkaama,6,23,,0.748016,0.358951,0.0,1.170863,,,,,,,,997745,833,2,Excellent
CONT_s10_Valkaama,7,22,,0.847719,0.042851,0.763341,0.925609,,,,,,,,1080489,950,6,Good
CONT_s10_Valkaama,8,23,,0.846919,0.031301,0.790071,0.90126,,,,,,,,1122555,1048,6,Good
CONT_s10_Valkaama,9,22,,0.852165,0.017281,0.828718,0.888565,,,,,,,,1087217,1073,2,Good
CONT_s10_Valkaama,10,23,,0.71981,0.698236,0.0,3.636351,,,,,,,,964083,885,2,Good
CONT_s10_Valkaama,11,23,,0.389948,0.243041,0.0,0.65165,,,,,,,,516940,419,2,Good
CONT_s10_Valkaama,12,22,,0.428935,0.250739,0.0,0.708004,,,,,,,,544082,462,4,Degraded
CONT_s10_Valkaama,13,23,,1.968231,6.672733,0.403974,33.263718,,,,,,,,2570689,2113,6,Degraded
CONT_s10_Valkaama,14,23,,0.294032,0.219177,0.0,0.570024,,,,,,,,386162,385,6,Degraded
CONT_s10_Valkaama,15,23,,0.436333,0.103371,0.0,0.584648,,,,,,,,576658,480,2,Degraded
CONT_s10_Valkaama,16,23,,0.393825,0.160068,0.0,0.556192,,,,,,,,518052,430,2,Degraded
CONT_s10_Valkaama,17,22,,0.170364,0.226715,0.0,0.598625,,,,,,,,219531,181,2,Degraded
CONT_s10_Valkaama,18,23,,0.258164,0.210794,0.0,0.53371,,,,,,,,341790,280,2,Degraded
CONT_s10_Valkaama,19,23,,0.601869,1.828208,0.0,9.147899,,,,,,,,809495,701,2,Good
CONT_s10_Valkaama,20,22,,0.20078,0.01354,0.180153,0.219093,,,,,,,,253904,319,4,Good
CONT_s10_Valkaama,21,23,,0.199619,0.023495,0.115667,0.225651,,,,,,,,265079,332,4,Critical
CONT_s10_Valkaama,22,23,,0.192954,0.062567,0.0,0.36898,,,,,,,,256859,312,2,Critical
CONT_s10_Valkaama,23,22,,0.159614,0.048834,0.078635,0.322175,,,,,,,,200967,212,2,Critical
CONT_s10_Valkaama,24,23,,0.095024,0.104317,0.0,0.327687,,,,,,,,124544,104,2,Critical
CONT_s10_Valkaama,25,23,,0.10603,0.082859,0.0,0.27321,,,,,,,,139359,119,2,Degraded
CONT_s10_Valkaama,26,23,,0.142019,0.0582,0.0,0.238551,,,,,,,,187522,165,2,Critical
CONT_s10_Valkaama,27,22,,0.144101,0.036202,0.078993,0.260641,,,,,,,,182690,164,4,Critical
CONT_s10_Valkaama,28,23,,0.142482,0.022773,0.086688,0.169955,,,,,,,,189236,195,5,Critical
CONT_s10_Valkaama,29,23,,0.099574,0.338405,0.0,1.657279,,,,,,,,142709,137,2,Critical
CONT_s11_BigBuckBunny,1,41,,0.663127,0.047894,0.586944,0.762938,,,,,,,,852594,843,2,Degraded
CONT_s11_BigBuckBunny,2,41,,0.511068,0.365816,0.0,1.163669,,,,,,,,657824,598,2,Degraded
CONT_s11_BigBuckBunny,3,40,,0.417911,0.413235,0.0,1.105246,,,,,,,,528388,438,2,Degraded
CONT_s11_BigBuckBunny,4,41,,0.299179,0.395083,0.0,0.984354,,,,,,,,386978,318,2,Degraded
CONT_s11_BigBuckBunny,5,41,,0.856867,0.103732,0.670662,1.084199,,,,,,,,1104487,966,4,Good
CONT_s11_BigBuckBunny,6,41,,2.848199,14.074774,0.0,91.822732,,,,,,,,3665841,2904,4,Good
CONT_s11_BigBuckBunny,7,40,,0.546192,0.45267,0.0,1.115564,,,,,,,,685479,549,2,Good
CONT_s11_BigBuckBunny,8,41,,0.796655,0.369701,0.0,1.229844,,,,,,,,1024304,937,4,Good
CONT_s11_BigBuckBunny,9,41,,2.641882,8.316688,0.0,46.455787,,,,,,,,3402919,2770,5,Excellent
CONT_s11_BigBuckBunny,10,40,,0.673226,0.358814,0.0,0.972882,,,,,,,,854862,699,4,Good
CONT_s11_BigBuckBunny,11,41,,0.721465,0.851656,0.0,5.472862,,,,,,,,938428,770,2,Good
CONT_s11_BigBuckBunny,12,40,,0.343327,0.169091,0.0,0.551971,,,,,,,,432313,440,2,Good
CONT_s11_BigBuckBunny,13,41,,0.408858,0.075094,0.241567,0.555994,,,,,,,,527997,576,4,Degraded
CONT_s11_BigBuckBunny,14,41,,0.407545,0.052672,0.270661,0.502341,,,,,,,,527800,574,6,Degraded
CONT_s11_BigBuckBunny,15,40,,0.469632,0.380591,0.0,2.781814,,,,,,,,591180,577,5,Critical
CONT_s11_BigBuckBunny,16,41,,0.316475,0.1901,0.0,0.541271,,,,,,,,409133,413,7,Critical
CONT_s11_BigBuckBunny,17,40,,0.278986,0.228929,0.0,0.711938,,,,,,,,353073,295,2,Degraded
