run_id,window_index,n_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,total_bytes,total_packets,active_flows,label
S1_TheSwissAccount_rep1,16,11,3.75708,6.262164,0.0,16.93468,0.007064,0.029634,0.0,0,5187561,3460,1,Excellent
S1_TheSwissAccount_rep1,17,11,2.268076,4.844037,0.0,13.792595,0.004358,0.026202,0.0,0,3130111,2088,1,Excellent
S1_TheSwissAccount_rep1,18,11,3.780197,6.200362,0.0,15.206257,0.007126,0.035469,0.0,0,5217609,3480,1,Excellent
S1_TheSwissAccount_rep1,19,11,2.776194,5.241563,0.0,14.963283,0.006515,0.024864,0.0,0,3831723,2555,1,Excellent
S1_TheSwissAccount_rep1,20,11,3.722566,5.511577,0.0,13.628624,0.010569,0.033995,0.0,0,5137587,3427,1,Excellent
S1_TheSwissAccount_rep1,21,11,2.56472,5.453497,0.0,14.985276,0.004391,0.02449,0.0,0,3545510,2365,1,Excellent
S1_TheSwissAccount_rep1,22,11,4.420895,7.269447,0.0,17.810599,0.00638,0.0245,0.0,0,6100355,4069,1,Excellent
S1_TheSwissAccount_rep1,23,11,3.008967,6.38282,0.0,16.751069,20.256852,222.76539,0.0,0,4152433,2770,1,Excellent
S1_TheSwissAccount_rep1,24,11,0.001159,0.001534,0.0,0.003189,114.504912,368.049741,0.0,0,1600,4,1,Excellent
S1_TheSwissAccount_rep1,25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_TheSwissAccount_rep1,26,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_TheSwissAccount_rep1,27,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_TheSwissAccount_rep1,28,11,3.8e-05,0.000119,0.0,0.000414,277.560232,3053.162557,0.0,0,52,1,1,Excellent
S1_TheSwissAccount_rep1,29,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_Valkaama_rep1,1,11,6.033065,9.908365,0.0,24.053743,0.007177,0.030787,0.0,0,8322310,5550,1,Excellent
S1_Valkaama_rep1,2,11,6.478052,10.103561,0.0,24.986863,0.009448,0.033943,0.0,0,8936775,5960,1,Excellent
S1_Valkaama_rep1,3,11,6.311514,10.310992,0.0,23.814253,0.00676,0.02803,0.0,0,8707820,5807,1,Excellent
S1_Valkaama_rep1,4,11,6.608997,10.793844,0.0,24.627657,0.006917,0.02803,0.0,0,9117663,6081,1,Excellent
S1_Valkaama_rep1,5,11,6.505393,10.631393,0.0,24.64224,0.006222,0.026454,0.0,0,8975648,5986,1,Excellent
S1_Valkaama_rep1,6,11,6.262183,10.227862,0.0,23.470961,0.007438,0.038103,0.0,0,8640079,5761,1,Excellent
S1_Valkaama_rep1,7,11,6.597296,10.777455,0.0,24.840279,0.0183,0.154143,0.0,0,9104232,6074,2,Excellent
S1_Valkaama_rep1,8,10,7.359666,11.245578,0.0,24.946211,0.021069,0.154143,0.0,0,9232715,6160,2,Excellent
S1_Valkaama_rep1,9,11,4.399322,9.332496,0.0,24.309031,0.00469,0.026475,0.0,0,6071447,4049,1,Excellent
S1_Valkaama_rep1,10,11,5.714017,9.845651,0.0,26.161084,0.007069,0.02675,0.0,0,7885819,5258,1,Excellent
S1_Valkaama_rep1,11,11,2.356653,5.010732,0.0,13.757799,0.006166,0.037188,0.0,0,3251872,2169,1,Excellent
S1_Valkaama_rep1,12,11,2.749492,4.496403,0.0,10.590363,0.006467,0.025905,0.0,0,3794161,2531,1,Excellent
S1_Valkaama_rep1,13,11,1.635732,3.471597,0.0,9.250153,0.005855,0.039745,0.0,0,2257460,1506,1,Excellent
S1_Valkaama_rep1,14,11,3.369683,5.550643,0.0,14.119538,0.007335,0.03414,0.0,0,4649087,3101,1,Excellent
S1_Valkaama_rep1,15,11,2.530016,5.467313,0.0,16.360299,0.005172,0.033497,0.0,0,3490395,2328,1,Excellent
S1_Valkaama_rep1,16,11,3.748357,6.131369,0.0,14.699209,0.007393,0.02992,0.0,0,5172431,3450,1,Excellent
S1_Valkaama_rep1,17,11,2.163324,4.59237,0.0,12.304416,0.005555,0.031488,0.0,0,2985710,1992,1,Excellent
S1_Valkaama_rep1,18,11,3.284975,5.373291,0.0,12.777399,0.00817,0.041857,0.0,0,4532649,3023,1,Excellent
S1_Valkaama_rep1,19,11,1.938055,4.122959,0.0,11.387934,0.005719,0.038001,0.0,0,2674704,1784,1,Excellent
S1_Valkaama_rep1,20,11,2.955896,4.842228,0.0,11.841586,0.006779,0.025995,0.0,0,4078988,2721,1,Excellent
