run_id,window_index,n_samples,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,label
S1_TheSwissAccount_rep1,18,11,3.778754,6.197863,0.0,15.198686,5217609,3480,1,Excellent
S1_TheSwissAccount_rep1,19,11,4.012984,6.62326,0.0,16.835699,5541945,3696,1,Excellent
S1_TheSwissAccount_rep1,20,11,3.720386,6.188827,0.0,16.835699,5137587,3427,1,Excellent
S1_TheSwissAccount_rep1,21,11,3.837924,6.279167,0.0,15.025571,5298102,3534,1,Excellent
S1_TheSwissAccount_rep1,22,10,4.860625,7.478111,0.0,17.798184,6100355,4069,1,Excellent
S1_TheSwissAccount_rep1,23,11,3.006739,6.378869,0.0,16.744396,4152033,2769,1,Excellent
S1_TheSwissAccount_rep1,24,11,0.001159,0.001533,0.0,0.003187,1600,4,1,Excellent
S1_TheSwissAccount_rep1,25,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_TheSwissAccount_rep1,26,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_TheSwissAccount_rep1,27,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_TheSwissAccount_rep1,28,11,3.8e-05,0.000119,0.0,0.000414,52,1,1,Excellent
S1_TheSwissAccount_rep1,29,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_Valkaama_rep1,1,11,6.291684,10.281735,0.0,24.036972,8685670,5793,1,Excellent
S1_Valkaama_rep1,2,11,6.47041,10.582671,0.0,24.932193,8936775,5960,1,Excellent
S1_Valkaama_rep1,3,11,6.308155,10.305491,0.0,23.80002,8707820,5807,1,Excellent
S1_Valkaama_rep1,4,11,6.604825,10.787022,0.0,24.610486,9117663,6081,1,Excellent
S1_Valkaama_rep1,5,11,6.502196,10.62626,0.0,24.632421,8975648,5986,1,Excellent
S1_Valkaama_rep1,6,11,6.258461,10.221829,0.0,23.463947,8640079,5761,1,Excellent
S1_Valkaama_rep1,7,11,6.594441,10.772705,0.0,24.830064,9104232,6074,1,Excellent
S1_Valkaama_rep1,8,10,7.356488,11.240785,0.0,24.941241,9232675,6159,1,Excellent
S1_Valkaama_rep1,9,11,4.397572,9.328788,0.0,24.301767,6071447,4049,1,Excellent
S1_Valkaama_rep1,10,11,5.711486,9.841155,0.0,26.145453,7885819,5258,1,Excellent
S1_Valkaama_rep1,11,11,3.036278,5.148591,0.0,13.748208,4193872,2797,1,Excellent
S1_Valkaama_rep1,12,11,2.745877,3.997662,0.0,10.178508,3794161,2531,1,Excellent
S1_Valkaama_rep1,13,11,1.635081,3.470214,0.0,9.246469,2257460,1506,1,Excellent
S1_Valkaama_rep1,14,11,3.367147,5.546776,0.0,14.112505,4649087,3101,1,Excellent
S1_Valkaama_rep1,15,11,2.528252,5.463501,0.0,16.348892,3490395,2328,1,Excellent
S1_Valkaama_rep1,16,11,3.747035,6.129314,0.0,14.699209,5172431,3450,1,Excellent
S1_Valkaama_rep1,17,11,2.162878,4.591386,0.0,12.299514,2985710,1992,1,Excellent
S1_Valkaama_rep1,18,11,3.283428,5.370718,0.0,12.769764,4532649,3023,1,Excellent
S1_Valkaama_rep1,19,11,1.937296,4.121378,0.0,11.384531,2674704,1784,1,Excellent
S1_Valkaama_rep1,20,11,2.954134,4.839351,0.0,11.834511,4078988,2721,1,Excellent
S1_Valkaama_rep1,21,11,1.834198,3.892477,0.0,10.346096,2532867,1689,1,Excellent
S1_Valkaama_rep1,22,11,3.104823,5.075261,0.0,11.999347,4286635,2859,1,Excellent
S1_Valkaama_rep1,23,11,2.186733,4.639732,0.0,12.321832,3019533,2015,1,Excellent
S1_Valkaama_rep1,24,11,0.001158,0.001532,0.0,0.003187,1600,4,1,Excellent
S1_Valkaama_rep1,25,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_Valkaama_rep1,26,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_Valkaama_rep1,27,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_Valkaama_rep1,28,11,3.8e-05,0.000119,0.0,0.000414,52,1,1,Excellent
S1_Valkaama_rep1,29,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S2A_BigBuckBunny_rep1,1,11,2.973535,0.066335,2.836352,3.082437,4106413,2740,1,Excellent
S2A_BigBuckBunny_rep1,2,11,2.977724,0.053036,2.883959,3.058542,4113027,2743,1,Excellent
S2A_BigBuckBunny_rep1,3,11,2.976,0.054733,2.867384,3.046292,4110154,2741,1,Excellent
S2A_BigBuckBunny_rep1,4,11,2.978714,0.0863,2.848021,3.099514,4114524,2745,1,Excellent
